"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 16 17:41:08 IST 2022","Wed Nov 16 17:41:08 IST 2022","285","","Cypress.Cookies","","Cypress.Cookies",".debug() - enable or disable debugging",".debug() - enable or disable debugging",""
"passed","Wed Nov 16 17:41:00 IST 2022","Wed Nov 16 17:41:01 IST 2022","369","","Cookies","","Cookies","cy.clearCookie() - clear a browser cookie","cy.clearCookie() - clear a browser cookie",""
"unknown","Wed Nov 16 17:43:08 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600788583","","Utilities","","Utilities","Cypress.Promise - instantiate a bluebird promise","Cypress.Promise - instantiate a bluebird promise",""
"skipped","Wed Nov 16 17:42:21 IST 2022","Wed Nov 16 17:42:21 IST 2022","0","","Querying","","Querying","cy.get() - query DOM elements","cy.get() - query DOM elements",""
"passed","Wed Nov 16 17:40:44 IST 2022","Wed Nov 16 17:40:44 IST 2022","316","","Connectors","","Connectors",".its() - get properties on the current subject",".its() - get properties on the current subject",""
"passed","Wed Nov 16 17:42:34 IST 2022","Wed Nov 16 17:42:34 IST 2022","266","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.stub() - create a stub and/or replace a function with stub","cy.stub() - create a stub and/or replace a function with stub",""
"passed","Wed Nov 16 17:40:33 IST 2022","Wed Nov 16 17:40:33 IST 2022","281","","Assertions Explicit Assertions","","Assertions Explicit Assertions","pass your own callback function to should()","pass your own callback function to should()",""
"unknown","Wed Nov 16 17:43:38 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600818464","","Window","","Window","cy.title() - get the title","cy.title() - get the title",""
"unknown","Wed Nov 16 17:43:08 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600788583","","Utilities","","Utilities","Cypress.minimatch - test out glob patterns against strings","Cypress.minimatch - test out glob patterns against strings",""
"unknown","Wed Nov 16 17:43:08 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600788582","","Utilities","","Utilities","Cypress.Blob - blob utilities and base64 string conversion","Cypress.Blob - blob utilities and base64 string conversion",""
"unknown","Wed Nov 16 17:40:34 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668600634512","","Assertions Explicit Assertions","","Assertions Explicit Assertions","assert - assert shape of an object","assert - assert shape of an object",""
"failed","Wed Nov 16 17:39:42 IST 2022","Wed Nov 16 17:39:54 IST 2022","12661","","Actions","","Actions",".type() - type into a DOM element",".type() - type into a DOM element",""
"passed","Wed Nov 16 17:40:22 IST 2022","Wed Nov 16 17:40:25 IST 2022","2505","","Aliasing","","Aliasing",".as() - alias a DOM element for later use",".as() - alias a DOM element for later use",""
"passed","Wed Nov 16 17:41:00 IST 2022","Wed Nov 16 17:41:00 IST 2022","251","","Cookies","","Cookies","cy.setCookie() - set a browser cookie","cy.setCookie() - set a browser cookie",""
"passed","Wed Nov 16 17:40:04 IST 2022","Wed Nov 16 17:40:05 IST 2022","345","","Actions","","Actions",".dblclick() - double click on a DOM element",".dblclick() - double click on a DOM element",""
"passed","Wed Nov 16 17:40:57 IST 2022","Wed Nov 16 17:40:59 IST 2022","2441","","Cookies","","Cookies","cy.getCookie() - get a browser cookie","cy.getCookie() - get a browser cookie",""
"passed","Wed Nov 16 17:40:09 IST 2022","Wed Nov 16 17:40:09 IST 2022","347","","Actions","","Actions",".scrollIntoView() - scroll an element into view",".scrollIntoView() - scroll an element into view",""
"passed","Wed Nov 16 17:41:19 IST 2022","Wed Nov 16 17:41:19 IST 2022","242","","Files","","Files","cy.readFile() - read file contents","cy.readFile() - read file contents",""
"passed","Wed Nov 16 17:42:21 IST 2022","Wed Nov 16 17:42:23 IST 2022","1950","","Querying","","Querying","cy.contains() - query DOM elements with matching content","cy.contains() - query DOM elements with matching content",""
"passed","Wed Nov 16 17:42:47 IST 2022","Wed Nov 16 17:42:48 IST 2022","250","","Traversal","","Traversal",".first() - get first DOM element",".first() - get first DOM element",""
"passed","Wed Nov 16 17:40:33 IST 2022","Wed Nov 16 17:40:33 IST 2022","262","","Assertions Implicit Assertions","","Assertions Implicit Assertions",".and() - chain multiple assertions together",".and() - chain multiple assertions together",""
"passed","Wed Nov 16 17:42:23 IST 2022","Wed Nov 16 17:42:24 IST 2022","270","","Querying","","Querying",".within() - query DOM elements within a specific element",".within() - query DOM elements within a specific element",""
"failed","Wed Nov 16 17:42:48 IST 2022","Wed Nov 16 17:42:52 IST 2022","4760","","Traversal","","Traversal",".last() - get last DOM element",".last() - get last DOM element",""
"passed","Wed Nov 16 17:41:34 IST 2022","Wed Nov 16 17:41:34 IST 2022","203","","Location","","Location","cy.url() - get the current URL","cy.url() - get the current URL",""
"passed","Wed Nov 16 17:40:01 IST 2022","Wed Nov 16 17:40:04 IST 2022","2897","","Actions","","Actions",".click() - click on a DOM element",".click() - click on a DOM element",""
"passed","Wed Nov 16 17:40:33 IST 2022","Wed Nov 16 17:40:33 IST 2022","219","","Assertions Explicit Assertions","","Assertions Explicit Assertions","expect - make an assertion about a specified subject","expect - make an assertion about a specified subject",""
"passed","Wed Nov 16 17:42:31 IST 2022","Wed Nov 16 17:42:34 IST 2022","2543","","Spies, Stubs, and Clock","","Spies, Stubs, and Clock","cy.spy() retries until assertions pass","cy.spy() retries until assertions pass",""
"failed","Wed Nov 16 17:39:55 IST 2022","Wed Nov 16 17:40:01 IST 2022","5235","","Actions","","Actions",".clear() - clears an input or textarea element",".clear() - clears an input or textarea element",""
"passed","Wed Nov 16 17:42:54 IST 2022","Wed Nov 16 17:42:54 IST 2022","228","","Traversal","","Traversal",".parents() - get parent DOM elements from DOM elements",".parents() - get parent DOM elements from DOM elements",""
